text,label,template_id
Thank you for your interest in Microsoft. Your final round is a formality. Please share your banking details for salary account setup before we release your appointment letter.,1,scam_32
"Dear candidate, you've been referred for an exclusive position at PrimeWork Solutions. Salary: ₹1,20,000/month. This offer expires in 2 hours. Reply YES to confirm.",1,scam_12
"Reminder: your Deloitte interview is scheduled for 18 June 2025 at 14:00 IST. Please carry your original documents. This is a formal in-person process, no online payment is required at any stage.",0,legit_26
TopNotch Hiring recruitment update: your interview has been waived based on a strong profile match. Kindly complete KYC by sharing your Aadhaar and bank passbook photo to placement.infosys@outlook.com.,1,scam_34
"Reminder: your JP Morgan interview is scheduled for 14 February 2025 at 11:00 IST. Please carry your original documents. This is a formal in-person process, no online payment is required at any stage.",0,legit_26
We are looking for a Machine Learning Engineer to join our team at Razorpay. Requirements: 6+ years of experience in SQL. Competitive salary and benefits. Apply at https://careers.razorpay.com.,0,legit_0
"Remote Systems Administrator position at Atlassian. We're a distributed team working across Ahmedabad and Noida. Stack: PyTorch, Data Analysis, SQL. Salary: 7.0 LPA. Apply: careers@atlassian.com",0,legit_17
"Dear Student, You have been selected for summer internship at MegaCorp International. Stipend: ₹60,000/month. Please pay ₹2499 admission fee within 24 hours.",1,scam_5
Thank you for your interest in Zomato. Your final round is a formality. Please share your banking details for salary account setup before we release your appointment letter.,1,scam_32
"Congrats! U r selected 4 Wipro job. Sal: 80,000/m. Pay 4999 2 confirm. Call +91 98765 43210 NOW!",1,scam_25
Are you looking for a job? GoldenGate Careers is hiring. Good salary. Flexible hours. Work from anywhere. Pay ₹2999 to apply. Contact: tcs.hr2024@gmail.com,1,scam_28
"Reminder: your Capgemini interview is scheduled for 17 June 2025 at 12:00 IST. Please carry your original documents. This is a formal in-person process, no online payment is required at any stage.",0,legit_26
"Hi, HR at Reliance here. Great news, you're through to the final stage! Just need your date of birth, address and bank IFSC code to prepare your employment contract.",1,scam_36
"Exciting opportunity at Swiggy! Earn ₹2,00,000/month working from home. Only requirement: pay ₹5999 one-time registration charge. Limited time offer!",1,scam_4
"Join Paytm affiliate program. Invest ₹9999 and earn ₹1,20,000/month passive income. 100% guaranteed returns. WhatsApp: +91 87654 32109",1,scam_24
This is from Flipkart HR department. We found your resume on Naukri. You are shortlisted. Pay ₹4999 for aptitude test. Call: +91 76543 21098,1,scam_20
"Dear Applicant, Thank you for applying to the Software Engineer position at IBM India. We have reviewed your application and would like to invite you for a technical interview on 15 December 2025 at 10:00 IST. Please confirm your availability. Regards, HR Team, IBM India",0,legit_10
"Position: Mobile Developer
Company: Morgan Stanley
Location: Chennai
Experience: 3-4 years
Skills: Go, Java, AWS
Apply: https://careers.morganstanle.com

Equal opportunity employer.",0,legit_3
We are pleased to inform you that you have been shortlisted for the Business Analyst position at HCL Technologies. The next round is a coding test scheduled on 26 July 2025. No fees required at any stage of recruitment.,0,legit_11
Congratulations! You have been selected for TCS internship. Pay ₹999 registration fee to confirm your seat. Limited seats available. Contact recruit.flipkart@gmail.com immediately.,1,scam_0
"Hello, this is Anjali from Paytm recruitment team. We reviewed your profile and would like to proceed with onboarding. Kindly share your bank account number and Aadhaar details to process your first month's salary in advance.",1,scam_30
"Earn ₹25,000/month by referring friends to GoldenGate Careers! Pay ₹2999 membership fee. Each referral earns you ₹500. Unlimited income potential!",1,scam_23
"Limited seats available for Morgan Stanley's 6-month internship cohort! Apply within 48 hours to secure your spot. Stipend: ₹30,000/month. No hidden charges. Apply: https://careers.morganstanle.com",0,legit_23
"Thank you for your interest in Salesforce. We are currently reviewing applications for the Product Manager position. Our recruitment process includes: 1) Resume screening, 2) Technical interview, 3) HR discussion. We do not charge any fees.",0,legit_12
"Dear Applicant, Thank you for applying to the Systems Administrator position at Oracle. We have reviewed your application and would like to invite you for a technical interview on 10 October 2025 at 17:00 IST. Please confirm your availability. Regards, HR Team, Oracle",0,legit_10
"Tata Consultancy Services certification exam registration is now open. A nominal exam fee of ₹1500 applies, fully refundable upon course completion. Register at https://careers.tataconsulta.com before 1 July 2025.",0,legit_22
"FREE LAPTOP + ₹40,000/month job at TCS. Just pay ₹999 shipping. WhatsApp +91 9999988888",1,scam_27
Welcome to Paytm! Your joining date is next Monday. Please complete onboarding by paying ₹599 for background verification. UPI: placement.fee@upi,1,scam_17
Congratulations! You have been selected for FastTrack Placements internship. Pay ₹9999 registration fee to confirm your seat. Limited seats available. Contact jobs.wipro@yahoo.in immediately.,1,scam_0
"Freshworks certification exam registration is now open. A nominal exam fee of ₹1000 applies, fully refundable upon course completion. Register at https://careers.freshworks.com before 23 February 2025.",0,legit_22
"Hurry! Goldman Sachs campus placement registration closes 12 May 2025. Eligible students must register on the official portal. Selection is based purely on merit, no fees at any stage.",0,legit_24
Your application to RapidGrowth Inc has been approved! Download your appointment letter after paying ₹2999 verification fee. Contact HR: tcs.hr2024@gmail.com,1,scam_16
"Dear Sneha, Please find attached your offer letter from Zomato. To activate your employment, transfer ₹599 to the following UPI: hr.company@paytm. HR Team",1,scam_15
"Subject: Application for DevOps Engineer - Cognizant

Dear Hiring Manager,

I am writing to express my interest in the DevOps Engineer position at Cognizant. With 2 years of experience in Rust, I believe I would be a strong fit.

Best regards",0,legit_20
⚠️ FINAL CALL: Only 5 seats left for Paytm internship program. Register now by paying ₹1999. Don't miss this golden opportunity!,1,scam_11
You won a lottery selection for TechVision Solutions internship! Pay ₹2499 to claim your position. Certificate + stipend provided. Act fast!,1,scam_14
"TCS Talent Team: Your resume matched our open role perfectly, no interview needed. Reply with your Aadhaar number so we can generate your employee ID before joining.",1,scam_37
"SureShot Placements is pleased to offer you the position of Business Development Executive. To complete verification, please send a scanned copy of your ID proof and PAN card to amazon.hiring@gmail.com.",1,scam_31
"Telegram job alert! Flipkart needs 500 workers for data entry. ₹50,000/day guaranteed. Join our channel and pay ₹2999 to register.",1,scam_19
"TCS/Infosys/Wipro walk-in drive! No experience needed. ₹80,000/month CTC. Registration fee ₹2499. Venue details after payment.",1,scam_22
"Internship Opportunity at Wipro. Role: Software Engineer Intern. Duration: 2 months. Location: Noida (Hybrid). Stipend: ₹20,000/month. No registration fee.",0,legit_6
Deutsche Bank invites applications for Data Scientist. CTC: 7.0 LPA. Location: Pune. Qualifications: B.Tech/M.Tech in Mechanical Engineering. Apply by 24 September 2025.,0,legit_4
"LAST CHANCE! InstantHire Pvt Ltd hiring freshers NOW. ₹75,000/month. No skills required. Apply immediately before all positions are filled. Contact: amazon.hiring@gmail.com",1,scam_10
"Dear Applicant, After careful consideration, we regret to inform you that we will not be moving forward with your application for the Full Stack Developer position at IBM India. We encourage you to apply for future openings. Regards, HR Team",0,legit_21
⚠️ FINAL CALL: Only 5 seats left for EliteJobs Global internship program. Register now by paying ₹499. Don't miss this golden opportunity!,1,scam_11
This is from QuickHire Solutions HR department. We found your resume on Naukri. You are shortlisted. Pay ₹9999 for aptitude test. Call: +91 76543 21098,1,scam_20
This is from GoldenGate Careers HR department. We found your resume on Naukri. You are shortlisted. Pay ₹5999 for aptitude test. Call: +91 87654 32109,1,scam_20
TechVision Solutions recruitment update: your interview has been waived based on a strong profile match. Kindly complete KYC by sharing your Aadhaar and bank passbook photo to microsoft.careers@yahoo.com.,1,scam_34
"PwC certification exam registration is now open. A nominal exam fee of ₹500 applies, fully refundable upon course completion. Register at https://careers.pwc.com before 10 February 2025.",0,legit_22
"Hey, my team at Oracle is hiring a Product Manager. Great work culture and benefits. If interested, apply through https://careers.oracle.com and I can refer you internally. Happy to chat!",0,legit_19
"Dear Applicant, After careful consideration, we regret to inform you that we will not be moving forward with your application for the DevOps Engineer position at Deutsche Bank. We encourage you to apply for future openings. Regards, HR Team",0,legit_21
"Hurry! Capgemini campus placement registration closes 17 May 2025. Eligible students must register on the official portal. Selection is based purely on merit, no fees at any stage.",0,legit_24
We are pleased to inform you that you have been shortlisted for the Full Stack Developer position at Atlassian. The next round is a coding test scheduled on 10 March 2025. No fees required at any stage of recruitment.,0,legit_11
"Limited seats available for Goldman Sachs's 3-month internship cohort! Apply within 48 hours to secure your spot. Stipend: ₹10,000/month. No hidden charges. Apply: https://careers.goldmansachs.com",0,legit_23
"CRED is closing applications for the Full Stack Developer internship in 2 days. Don't miss out, apply now at https://careers.cred.com. Selection purely on merit, no payment involved.",0,legit_27
"Congrats! U r selected 4 TechVision Solutions job. Sal: 1,20,000/m. Pay 5999 2 confirm. Call +91 87654 32109 NOW!",1,scam_25
CRED Recruitment 2025. Post: Backend Developer. Vacancies: 29. Qualification: BCA. Age limit: 18-31 years. Apply online at https://careers.cred.com. Last date: 22 June 2025. No application fee for SC/ST candidates.,0,legit_16
"Dear Candidate, Swiggy is offering guaranteed placement with ₹80,000/month salary. To proceed, pay ₹2999 as security deposit. Offer expires today!",1,scam_1
"Job Opening at FastTrack Placements. No interview required. Just pay ₹599 and start earning ₹1,00,000/month from day 1. Work from home. Contact: +91 8888877777",1,scam_8
Thank you for your interest in SureShot Placements. Your final round is a formality. Please share your banking details for salary account setup before we release your appointment letter.,1,scam_32
"ATTENTION: RapidGrowth Inc is hiring! Part-time job, earn ₹75,000/day! Simple typing work. Registration fee ₹499. DM now for details.",1,scam_9
"Exciting opportunity! Infosys is expanding and we're looking for talented UI/UX Designers. If you have 6+ years of experience in Rust and TensorFlow, apply through the link in bio. #hiring #Rust",0,legit_13
"Join RapidGrowth Inc affiliate program. Invest ₹4999 and earn ₹25,000/month passive income. 100% guaranteed returns. WhatsApp: +91 87654 32109",1,scam_24
"Hurry! Infosys campus placement registration closes 28 December 2025. Eligible students must register on the official portal. Selection is based purely on merit, no fees at any stage.",0,legit_24
Goldman Sachs invites applications for Software Engineer. CTC: 4.0 LPA. Location: Delhi NCR. Qualifications: B.Tech/M.Tech in Artificial Intelligence. Apply by 21 September 2025.,0,legit_4
"Subject: Application for Business Analyst - CRED

Dear Hiring Manager,

I am writing to express my interest in the Business Analyst position at CRED. With 7 years of experience in AWS, I believe I would be a strong fit.

Best regards",0,legit_20
DreamJob India recruitment update: your interview has been waived based on a strong profile match. Kindly complete KYC by sharing your Aadhaar and bank passbook photo to techvision.hr@gmail.com.,1,scam_34
"Exciting opportunity at PrimeWork Solutions! Earn ₹1,50,000/month working from home. Only requirement: pay ₹5999 one-time registration charge. Limited time offer!",1,scam_4
"Freshworks Summer Internship Program 2025. Duration: 4 months. Stipend: ₹40,000/month. Eligibility: Students in Electrical Engineering. Apply at https://careers.freshworks.com by 11 May 2025.",0,legit_5
"Campus Drive Alert: SAP Labs | Date: 21 November 2025 | Package: 4.5 LPA | Eligibility: 60% throughout, no backlogs | Register on the placement portal by 21 November 2025.",0,legit_9
"TCS/Infosys/Wipro walk-in drive! No experience needed. ₹60,000/month CTC. Registration fee ₹9999. Venue details after payment.",1,scam_22
"Hey, my team at IBM India is hiring a Data Scientist. Great work culture and benefits. If interested, apply through https://careers.ibmindia.com and I can refer you internally. Happy to chat!",0,legit_19
PhonePe invites applications for Data Analyst. CTC: 3.5 LPA. Location: Ahmedabad. Qualifications: B.Tech/M.Tech in Information Technology. Apply by 8 May 2025.,0,legit_4
"JP Morgan certification exam registration is now open. A nominal exam fee of ₹1000 applies, fully refundable upon course completion. Register at https://careers.jpmorgan.com before 21 October 2025.",0,legit_22
We are looking for a Full Stack Developer to join our team at Deloitte. Requirements: 7+ years of experience in Data Analysis. Competitive salary and benefits. Apply at https://careers.deloitte.com.,0,legit_0
Congratulations! You have been selected for Google internship. Pay ₹9999 registration fee to confirm your seat. Limited seats available. Contact hr.google@gmail.com immediately.,1,scam_0
"SAP Labs is closing applications for the Mobile Developer internship in 2 days. Don't miss out, apply now at https://careers.saplabs.com. Selection purely on merit, no payment involved.",0,legit_27
🎉 Congratulations! Amazon internship offer! Pay ₹999 to reserve your spot. High stipend guaranteed. Contact us on WhatsApp: +91 87654 32109,1,scam_6
"Thank you for your interest in IBM India. We are currently reviewing applications for the Backend Developer position. Our recruitment process includes: 1) Resume screening, 2) Technical interview, 3) HR discussion. We do not charge any fees.",0,legit_12
"Campus Drive Alert: Salesforce | Date: 20 December 2025 | Package: 15.0 LPA | Eligibility: 60% throughout, no backlogs | Register on the placement portal by 20 December 2025.",0,legit_9
"URGENT: You are shortlisted for EasyMoney Corp work from home job. Salary ₹40,000/month. Pay ₹2999 processing fee to get your offer letter. WhatsApp: +91 98765 43210",1,scam_2
JP Morgan invites applications for DevOps Engineer. CTC: 3.5 LPA. Location: Hyderabad. Qualifications: B.Tech/M.Tech in Electrical Engineering. Apply by 9 May 2025.,0,legit_4
GlobalHire Pvt Ltd recruitment update: your interview has been waived based on a strong profile match. Kindly complete KYC by sharing your Aadhaar and bank passbook photo to hr.google@gmail.com.,1,scam_34
"Cognizant Summer Internship Program 2025. Duration: 2 months. Stipend: ₹40,000/month. Eligibility: Students in Electrical Engineering. Apply at https://careers.cognizant.com by 3 July 2025.",0,legit_5
"Dear Student, You have been selected for summer internship at Microsoft. Stipend: ₹1,00,000/month. Please pay ₹599 admission fee within 24 hours.",1,scam_5
"Limited seats available for Tata Consultancy Services's 6-month internship cohort! Apply within 48 hours to secure your spot. Stipend: ₹15,000/month. No hidden charges. Apply: https://careers.tataconsulta.com",0,legit_23
"TCS/Infosys/Wipro walk-in drive! No experience needed. ₹1,00,000/month CTC. Registration fee ₹999. Venue details after payment.",1,scam_22
"As part of our onboarding process, Zoho Corporation requires a refundable security deposit of ₹300 for company laptop issuance, returned upon completion of probation. Full details in your official offer letter.",0,legit_25
"Selected! Reliance. ₹40,000/m. Pay ₹2499. Limited offer. +91 76543 21098",1,scam_26
Selected for Swiggy placement drive! Pay ₹599 exam fee. 100% placement guarantee. Offer valid till today only. Hurry! Email: hiring.paytm@gmail.com,1,scam_7
"🚀 We're hiring! Salesforce needs a Cloud Architect in Kolkata. Great culture, competitive pay, learning opportunities. Check out the JD on our careers page. #openposition",0,legit_14
"We're offering a 3-month internship for Data Science students at Tata Consultancy Services, Noida. You'll work on real projects with our QA Engineer team. Stipend provided. Apply: https://careers.tataconsulta.com",0,legit_7
"About ThoughtWorks: We are a leading technology company based in Gurgaon.

Role: Data Analyst
Responsibilities:
- Design and develop AWS solutions
- Collaborate with cross-functional teams
- Write clean, maintainable code

Requirements:
- 3+ years in AWS
- Strong problem-solving skills
- Excellent communication

Benefits: Health insurance, flexible hours, learning budget

Apply: https://careers.thoughtworks.com",0,legit_15
"Dear candidate, you've been referred for an exclusive position at Infosys. Salary: ₹10,000/month. This offer expires in 2 hours. Reply YES to confirm.",1,scam_12
Are you looking for a job? FastTrack Placements is hiring. Good salary. Flexible hours. Work from anywhere. Pay ₹599 to apply. Contact: placement.infosys@outlook.com,1,scam_28
"Congrats! U r selected 4 TechVision Solutions job. Sal: 5,000/m. Pay 1499 2 confirm. Call +91 8888877777 NOW!",1,scam_25
"Exciting opportunity! PhonePe is expanding and we're looking for talented Data Scientists. If you have 2+ years of experience in MongoDB and PyTorch, apply through the link in bio. #hiring #MongoDB",0,legit_13
"Join our early-stage startup SAP Labs! We're building next-gen payments and need a UI/UX Designer. Equity + competitive salary. If you're passionate about Information Technology, send your resume to careers@saplabs.com.",0,legit_18
"As part of our onboarding process, Infosys requires a refundable security deposit of ₹1500 for company laptop issuance, returned upon completion of probation. Full details in your official offer letter.",0,legit_25
"Job Opening: Backend Developer at Atlassian, Kolkata. We offer a collaborative work environment, health insurance, and competitive compensation. Apply through our careers page: https://careers.atlassian.com.",0,legit_2
"Google/Microsoft/Amazon is hiring freshers! Salary ₹1,50,000/month. Send your resume to tcs.hr2024@gmail.com and pay ₹9999 application fee.",1,scam_21
Selected for InstantHire Pvt Ltd placement drive! Pay ₹499 exam fee. 100% placement guarantee. Offer valid till today only. Hurry! Email: hr.google@gmail.com,1,scam_7
"Wipro Summer Internship Program 2025. Duration: 6 months. Stipend: ₹40,000/month. Eligibility: Students in Computer Science. Apply at https://careers.wipro.com by 17 February 2025.",0,legit_5
"FREE LAPTOP + ₹1,20,000/month job at Amazon. Just pay ₹2499 shipping. WhatsApp 9876543210",1,scam_27
"Deloitte will be visiting NIT Trichy for campus placements on 28 April 2025. Eligible branches: CSE, IT, ECE. CTC: 10.0 LPA. No registration charges. Prepare well!",0,legit_8
Your application to TechVision Solutions has been approved! Download your appointment letter after paying ₹5999 verification fee. Contact HR: recruit.flipkart@gmail.com,1,scam_16
"Job Opening at Microsoft. No interview required. Just pay ₹4999 and start earning ₹75,000/month from day 1. Work from home. Contact: +91 76543 21098",1,scam_8
"Hi, I am HR from Microsoft. We have a vacancy for fresher. No experience needed. Salary ₹10,000/month. Pay ₹9999 training fee. Join immediately.",1,scam_3
"Internship Opportunity at Adobe. Role: Systems Administrator Intern. Duration: 4 months. Location: Delhi NCR (Hybrid). Stipend: ₹20,000/month. No registration fee.",0,legit_6
"Reminder: your HCL Technologies interview is scheduled for 20 March 2025 at 9:00 IST. Please carry your original documents. This is a formal in-person process, no online payment is required at any stage.",0,legit_26
"CRED is closing applications for the Data Scientist internship in 2 days. Don't miss out, apply now at https://careers.cred.com. Selection purely on merit, no payment involved.",0,legit_27
"Hurry! ThoughtWorks campus placement registration closes 4 March 2025. Eligible students must register on the official portal. Selection is based purely on merit, no fees at any stage.",0,legit_24
Zoho Corporation Recruitment 2025. Post: Backend Developer. Vacancies: 53. Qualification: M.Tech. Age limit: 18-30 years. Apply online at https://careers.zohocorporat.com. Last date: 12 June 2025. No application fee for SC/ST candidates.,0,legit_16
"We're offering a 3-month internship for Electronics students at JP Morgan, Kolkata. You'll work on real projects with our Cloud Architect team. Stipend provided. Apply: https://careers.jpmorgan.com",0,legit_7
"Part time / Full time job available at RapidGrowth Inc. Earn ₹1,50,000/month minimum. Investment: ₹2999 only. Returns guaranteed. +91 87654 32109",1,scam_29
"Google Talent Team: Your resume matched our open role perfectly, no interview needed. Reply with your Aadhaar number so we can generate your employee ID before joining.",1,scam_37
"FREE LAPTOP + ₹8,000/month job at Google. Just pay ₹499 shipping. WhatsApp +91 87654 32109",1,scam_27
"Deutsche Bank will be visiting VIT Vellore for campus placements on 18 December 2025. Eligible branches: CSE, IT, ECE. CTC: 12.0 LPA. No registration charges. Prepare well!",0,legit_8
Thank you for your interest in DreamJob India. Your final round is a formality. Please share your banking details for salary account setup before we release your appointment letter.,1,scam_32
"Dear Applicant, Thank you for applying to the Full Stack Developer position at Tata Consultancy Services. We have reviewed your application and would like to invite you for a technical interview on 10 October 2025 at 15:00 IST. Please confirm your availability. Regards, HR Team, Tata Consultancy Services",0,legit_10
"Subject: Application for Cloud Architect - CRED

Dear Hiring Manager,

I am writing to express my interest in the Cloud Architect position at CRED. With 3 years of experience in Python, I believe I would be a strong fit.

Best regards",0,legit_20
"Infosys will be visiting VIT Vellore for campus placements on 16 September 2025. Eligible branches: CSE, IT, ECE. CTC: 5.0 LPA. No registration charges. Prepare well!",0,legit_8
"IBM India Summer Internship Program 2025. Duration: 2 months. Stipend: ₹25,000/month. Eligibility: Students in Data Science. Apply at https://careers.ibmindia.com by 11 January 2025.",0,legit_5
We are looking for a Data Scientist to join our team at HCL Technologies. Requirements: 1+ years of experience in Docker. Competitive salary and benefits. Apply at https://careers.hcltechnolog.com.,0,legit_0
Welcome to QuickHire Solutions! Your joining date is next Monday. Please complete onboarding by paying ₹9999 for background verification. UPI: recruiter2024@gpay,1,scam_17
"Dear candidate, you've been referred for an exclusive position at FastTrack Placements. Salary: ₹1,50,000/month. This offer expires in 2 hours. Reply YES to confirm.",1,scam_12
"Position: Mobile Developer
Company: Wipro
Location: Noida
Experience: 1-2 years
Skills: Cloud Computing, PostgreSQL, React
Apply: https://careers.wipro.com

Equal opportunity employer.",0,legit_3
"Part time / Full time job available at InstantHire Pvt Ltd. Earn ₹10,000/month minimum. Investment: ₹999 only. Returns guaranteed. +91 87654 32109",1,scam_29
"Campus Drive Alert: Cognizant | Date: 6 December 2025 | Package: 4.0 LPA | Eligibility: 60% throughout, no backlogs | Register on the placement portal by 6 December 2025.",0,legit_9
This is from EasyMoney Corp HR department. We found your resume on Naukri. You are shortlisted. Pay ₹2999 for aptitude test. Call: +91 76543 21098,1,scam_20
GlobalHire Pvt Ltd recruitment update: your interview has been waived based on a strong profile match. Kindly complete KYC by sharing your Aadhaar and bank passbook photo to hiring.paytm@gmail.com.,1,scam_34
GlobalHire Pvt Ltd recruitment update: your interview has been waived based on a strong profile match. Kindly complete KYC by sharing your Aadhaar and bank passbook photo to quickhire@yahoo.com.,1,scam_34
"URGENT: You are shortlisted for Zomato work from home job. Salary ₹8,000/month. Pay ₹1499 processing fee to get your offer letter. WhatsApp: 9876543210",1,scam_2
🎉 Congratulations! SureShot Placements internship offer! Pay ₹499 to reserve your spot. High stipend guaranteed. Contact us on WhatsApp: +91 98765 43210,1,scam_6
"We're offering a 2-month internship for Artificial Intelligence students at KPMG, Bangalore. You'll work on real projects with our Frontend Developer team. Stipend provided. Apply: https://careers.kpmg.com",0,legit_7
"🚀 We're hiring! HCL Technologies needs a Software Engineer in Pune. Great culture, competitive pay, learning opportunities. Check out the JD on our careers page. #openposition",0,legit_14
"Earn ₹2,00,000/month by referring friends to GlobalHire Pvt Ltd! Pay ₹4999 membership fee. Each referral earns you ₹500. Unlimited income potential!",1,scam_23
"Hey, my team at KPMG is hiring a QA Engineer. Great work culture and benefits. If interested, apply through https://careers.kpmg.com and I can refer you internally. Happy to chat!",0,legit_19
"Remote Business Analyst position at Deloitte. We're a distributed team working across Mumbai and Delhi NCR. Stack: React, MongoDB, JavaScript. Salary: 6.0 LPA. Apply: careers@deloitte.com",0,legit_17
"Atlassian Summer Internship Program 2025. Duration: 4 months. Stipend: ₹20,000/month. Eligibility: Students in Mechanical Engineering. Apply at https://careers.atlassian.com by 1 November 2025.",0,legit_5
"Job Opening: Data Analyst at Cognizant, Chennai. We offer a collaborative work environment, health insurance, and competitive compensation. Apply through our careers page: https://careers.cognizant.com.",0,legit_2
Selected for Paytm placement drive! Pay ₹2999 exam fee. 100% placement guarantee. Offer valid till today only. Hurry! Email: hr.google@gmail.com,1,scam_7
"Earn ₹1,00,000/month by referring friends to Infosys! Pay ₹2999 membership fee. Each referral earns you ₹500. Unlimited income potential!",1,scam_23
"About Goldman Sachs: We are a leading e-commerce company based in Gurgaon.

Role: Data Analyst
Responsibilities:
- Design and develop Docker solutions
- Collaborate with cross-functional teams
- Write clean, maintainable code

Requirements:
- 3+ years in Docker
- Strong problem-solving skills
- Excellent communication

Benefits: Health insurance, flexible hours, learning budget

Apply: https://careers.goldmansachs.com",0,legit_15
"Campus Drive Alert: Salesforce | Date: 16 September 2025 | Package: 18.0 LPA | Eligibility: 60% throughout, no backlogs | Register on the placement portal by 16 September 2025.",0,legit_9
We are pleased to inform you that you have been shortlisted for the Backend Developer position at Morgan Stanley. The next round is a coding test scheduled on 18 September 2025. No fees required at any stage of recruitment.,0,legit_11
"Hi, I am HR from InstantHire Pvt Ltd. We have a vacancy for fresher. No experience needed. Salary ₹25,000/month. Pay ₹599 training fee. Join immediately.",1,scam_3
Infosys Recruitment 2025. Post: Systems Administrator. Vacancies: 21. Qualification: B.Sc IT. Age limit: 18-31 years. Apply online at https://careers.infosys.com. Last date: 15 December 2025. No application fee for SC/ST candidates.,0,legit_16
Congratulations! You have been selected for SureShot Placements internship. Pay ₹5999 registration fee to confirm your seat. Limited seats available. Contact jobs.wipro@yahoo.in immediately.,1,scam_0
"Reminder: your Morgan Stanley interview is scheduled for 28 July 2025 at 13:00 IST. Please carry your original documents. This is a formal in-person process, no online payment is required at any stage.",0,legit_26
"Subject: Application for QA Engineer - Oracle

Dear Hiring Manager,

I am writing to express my interest in the QA Engineer position at Oracle. With 6 years of experience in SQL, I believe I would be a strong fit.

Best regards",0,legit_20
"Join our early-stage startup Deutsche Bank! We're building next-gen payments and need a Data Analyst. Equity + competitive salary. If you're passionate about Computer Science, send your resume to careers@deutschebank.com.",0,legit_18
We are pleased to inform you that you have been shortlisted for the Backend Developer position at Tata Consultancy Services. The next round is a coding test scheduled on 9 July 2025. No fees required at any stage of recruitment.,0,legit_11
